ZaporednaStevilkaOsebeVPN,VremenskeOkoliscine,StanjePrometa,StanjeVozisca,VrstaVozisca
2356003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2356004,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2357001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2357002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2358001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2358002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2358003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2359001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2360001,JASNO,REDEK,SUHO,ASFALT
2361001,JASNO,GOST,SUHO,ASFALT
2361002,JASNO,GOST,SUHO,ASFALT
2362001,JASNO,REDEK,SUHO,ASFALT
2362002,JASNO,REDEK,SUHO,ASFALT
2363001,JASNO,REDEK,SUHO,ASFALT
2364001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2364002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2365001,OBLAČNO,GOST,SUHO,ASFALT
2366001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2366002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2367001,JASNO,REDEK,SUHO,ASFALT
2368001,JASNO,GOST,SUHO,ASFALT
2368002,JASNO,GOST,SUHO,ASFALT
2369001,OBLAČNO,GOST,SUHO,ASFALT
2369002,OBLAČNO,GOST,SUHO,ASFALT
2370001,JASNO,GOST,SUHO,ASFALT
2370002,JASNO,GOST,SUHO,ASFALT
2371001,JASNO,REDEK,SUHO,ASFALT
2371002,JASNO,REDEK,SUHO,ASFALT
2372001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2372002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2373001,JASNO,REDEK,SUHO,ASFALT
2374001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2374002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2375001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2375002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2376001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2376002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2376003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2377001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2378001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2378002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2379001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2379002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2380001,NEZNANO,NEZNANO,OSTALO,ASFALT
2380002,NEZNANO,NEZNANO,OSTALO,ASFALT
2381001,JASNO,REDEK,MOKRO,ASFALT
2381002,JASNO,REDEK,MOKRO,ASFALT
2381003,JASNO,REDEK,MOKRO,ASFALT
2381004,JASNO,REDEK,MOKRO,ASFALT
2382001,JASNO,GOST,SUHO,ASFALT
2382002,JASNO,GOST,SUHO,ASFALT
2382003,JASNO,GOST,SUHO,ASFALT
2383001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2383002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2383003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2384001,NEZNANO,NEZNANO,OSTALO,ASFALT
2385001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2386001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2386002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2386003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2387001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2387002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2388001,OBLAČNO,NEZNANO,SUHO,ASFALT
2388002,OBLAČNO,NEZNANO,SUHO,ASFALT
2389001,JASNO,NEZNANO,SUHO,ASFALT
2389002,JASNO,NEZNANO,SUHO,ASFALT
2390001,JASNO,NEZNANO,SUHO,ASFALT
2390002,JASNO,NEZNANO,SUHO,ASFALT
2390003,JASNO,NEZNANO,SUHO,ASFALT
2391001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2391002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2392001,JASNO,REDEK,SUHO,ASFALT
2393001,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
2394001,MEGLA,TEKOČ (NORMALEN),MOKRO,ASFALT
2395001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2395002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2396001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2396002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2397001,JASNO,NEZNANO,SUHO,ASFALT
2398001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2398002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2399001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2399002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2400001,JASNO,REDEK,SUHO,ASFALT
2400002,JASNO,REDEK,SUHO,ASFALT
2401001,JASNO,REDEK,SUHO,ASFALT
2401002,JASNO,REDEK,SUHO,ASFALT
2402001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2402002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2403001,JASNO,REDEK,SUHO,MAKADAM
2403002,JASNO,REDEK,SUHO,MAKADAM
2404001,OBLAČNO,REDEK,MOKRO,ASFALT
2404002,OBLAČNO,REDEK,MOKRO,ASFALT
2405001,JASNO,REDEK,SUHO,ASFALT
2406001,JASNO,NEZNANO,SUHO,ASFALT
2407001,OBLAČNO,NEZNANO,MOKRO,ASFALT
2408001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2408002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2409001,OBLAČNO,KOLONA VOZIL,SUHO,ASFALT
2409002,OBLAČNO,KOLONA VOZIL,SUHO,ASFALT
2410001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2410002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2411001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2411002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2412001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2412002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2413001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2413002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2414001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2415001,JASNO,REDEK,SUHO,ASFALT
2415002,JASNO,REDEK,SUHO,ASFALT
2416001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2416002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2417001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2417002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2418001,JASNO,GOST,SUHO,ASFALT
2418002,JASNO,GOST,SUHO,ASFALT
2418003,JASNO,GOST,SUHO,ASFALT
2419001,OBLAČNO,REDEK,MOKRO,ASFALT
2420001,NEZNANO,TEKOČ (NORMALEN),SUHO,ASFALT
2421001,JASNO,REDEK,SUHO,ASFALT
2422001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2422002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2423001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2423002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2423003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2424001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2424002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2425001,NEZNANO,NEZNANO,SUHO,ASFALT
2426001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2427001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2428001,OBLAČNO,REDEK,SUHO,ASFALT
2429001,NEZNANO,NEZNANO,OSTALO,MAKADAM
2430001,JASNO,REDEK,SUHO,ASFALT
2430002,JASNO,REDEK,SUHO,ASFALT
2431001,OBLAČNO,REDEK,MOKRO,ASFALT
2431002,OBLAČNO,REDEK,MOKRO,ASFALT
2431003,OBLAČNO,REDEK,MOKRO,ASFALT
2432001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2432002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2433001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2433002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2434001,NEZNANO,NEZNANO,SUHO,ASFALT
2435001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2435002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2436001,JASNO,REDEK,SUHO,ASFALT
2436002,JASNO,REDEK,SUHO,ASFALT
2437001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2437002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2438001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2438002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2439001,JASNO,GOST,SUHO,ASFALT
2439002,JASNO,GOST,SUHO,ASFALT
2439003,JASNO,GOST,SUHO,ASFALT
2440001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2440002,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2441001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2442001,OBLAČNO,TEKOČ (NORMALEN),SUHO,BETON
2443001,OBLAČNO,REDEK,SUHO,ASFALT
2444001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2445001,JASNO,REDEK,MOKRO,ASFALT
2446001,JASNO,REDEK,SUHO,ASFALT
2446002,JASNO,REDEK,SUHO,ASFALT
2447001,JASNO,REDEK,SUHO,ASFALT
2447002,JASNO,REDEK,SUHO,ASFALT
2448001,NEZNANO,NEZNANO,MOKRO,ASFALT
2448002,NEZNANO,NEZNANO,MOKRO,ASFALT
2449001,JASNO,GOST,SUHO,ASFALT
2449002,JASNO,GOST,SUHO,ASFALT
2450001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2451001,JASNO,REDEK,SUHO,ASFALT
2452001,OBLAČNO,REDEK,SUHO,ASFALT
2452002,OBLAČNO,REDEK,SUHO,ASFALT
2453001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2454001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2454002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2455001,JASNO,NEZNANO,SUHO,ASFALT
2455002,JASNO,NEZNANO,SUHO,ASFALT
2456001,JASNO,GOST,SUHO,ASFALT
2456002,JASNO,GOST,SUHO,ASFALT
2456003,JASNO,GOST,SUHO,ASFALT
2457001,JASNO,NEZNANO,SUHO,ASFALT
2458001,JASNO,GOST,SUHO,ASFALT
2458002,JASNO,GOST,SUHO,ASFALT
2459001,JASNO,KOLONA VOZIL,SUHO,ASFALT
2459002,JASNO,KOLONA VOZIL,SUHO,ASFALT
2460001,JASNO,REDEK,SUHO,ASFALT
2461001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2461002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2462001,JASNO,GOST,SUHO,ASFALT
2462002,JASNO,GOST,SUHO,ASFALT
2463001,JASNO,GOST,SUHO,ASFALT
2464001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2464002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2465001,JASNO,ZASTOJI,SUHO,ASFALT
2465002,JASNO,ZASTOJI,SUHO,ASFALT
2465003,JASNO,ZASTOJI,SUHO,ASFALT
2466001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2466002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2467001,JASNO,GOST,SUHO,ASFALT
2467002,JASNO,GOST,SUHO,ASFALT
2467003,JASNO,GOST,SUHO,ASFALT
2468001,JASNO,REDEK,SUHO,ASFALT
2469001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2470001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2470002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2471001,OBLAČNO,GOST,SUHO,ASFALT
2472001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2472002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2473001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2473002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2474001,JASNO,REDEK,SUHO,ASFALT
2475001,JASNO,GOST,SUHO,ASFALT
2475002,JASNO,GOST,SUHO,ASFALT
2476001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2476002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2477001,JASNO,REDEK,SUHO,ASFALT
2477002,JASNO,REDEK,SUHO,ASFALT
2478001,JASNO,REDEK,SUHO,ASFALT
2478002,JASNO,REDEK,SUHO,ASFALT
2479001,OBLAČNO,GOST,SUHO,ASFALT
2479002,OBLAČNO,GOST,SUHO,ASFALT
2480001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2481001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2481002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2482001,OBLAČNO,REDEK,SUHO,ASFALT
2482002,OBLAČNO,REDEK,SUHO,ASFALT
2483001,OBLAČNO,REDEK,SUHO,MAKADAM
2483002,OBLAČNO,REDEK,SUHO,MAKADAM
2484001,JASNO,REDEK,SUHO,ASFALT
2484002,JASNO,REDEK,SUHO,ASFALT
2485001,JASNO,NEZNANO,SUHO,ASFALT
2485002,JASNO,NEZNANO,SUHO,ASFALT
2486001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2486002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2487001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2487002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2488001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2488002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2489001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2489002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2490001,JASNO,GOST,SUHO,ASFALT
2490002,JASNO,GOST,SUHO,ASFALT
2490003,JASNO,GOST,SUHO,ASFALT
2490004,JASNO,GOST,SUHO,ASFALT
2490005,JASNO,GOST,SUHO,ASFALT
2491001,JASNO,NEZNANO,SUHO,ASFALT
2491002,JASNO,NEZNANO,SUHO,ASFALT
2491003,JASNO,NEZNANO,SUHO,ASFALT
2491004,JASNO,NEZNANO,SUHO,ASFALT
2492001,OBLAČNO,GOST,SUHO,ASFALT
2492002,OBLAČNO,GOST,SUHO,ASFALT
2493001,OBLAČNO,REDEK,SUHO,ASFALT
2494001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2494002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2495001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2495002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2496001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2496002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2497001,JASNO,REDEK,SUHO,ASFALT
2498001,JASNO,REDEK,SUHO,ASFALT
2498002,JASNO,REDEK,SUHO,ASFALT
2498003,JASNO,REDEK,SUHO,ASFALT
2498004,JASNO,REDEK,SUHO,ASFALT
2499001,JASNO,REDEK,SUHO,ASFALT
2499002,JASNO,REDEK,SUHO,ASFALT
2500001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2500002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2500003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2501001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2501002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2501003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2502001,JASNO,GOST,SUHO,ASFALT
2502002,JASNO,GOST,SUHO,ASFALT
2503001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2504001,JASNO,REDEK,SUHO,ASFALT
2504002,JASNO,REDEK,SUHO,ASFALT
2505001,JASNO,NEZNANO,SUHO,ASFALT
2505002,JASNO,NEZNANO,SUHO,ASFALT
2506001,OBLAČNO,REDEK,SUHO,ASFALT
2506002,OBLAČNO,REDEK,SUHO,ASFALT
2507001,JASNO,REDEK,SUHO,ASFALT
2508001,JASNO,NEZNANO,SUHO,ASFALT
2508002,JASNO,NEZNANO,SUHO,ASFALT
2509001,JASNO,NEZNANO,SUHO,ASFALT
2509002,JASNO,NEZNANO,SUHO,ASFALT
2510001,JASNO,REDEK,SUHO,ASFALT
2510002,JASNO,REDEK,SUHO,ASFALT
2511001,OBLAČNO,GOST,SUHO,ASFALT
2511002,OBLAČNO,GOST,SUHO,ASFALT
2512001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2512002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2513001,JASNO,GOST,SUHO,ASFALT
2513002,JASNO,GOST,SUHO,ASFALT
2514001,JASNO,REDEK,SUHO,ASFALT
2515001,JASNO,REDEK,SUHO,ASFALT
2516001,JASNO,KOLONA VOZIL,SUHO,ASFALT
2516002,JASNO,KOLONA VOZIL,SUHO,ASFALT
2516003,JASNO,KOLONA VOZIL,SUHO,ASFALT
2517001,JASNO,GOST,SUHO,ASFALT
2517002,JASNO,GOST,SUHO,ASFALT
2517003,JASNO,GOST,SUHO,ASFALT
2517004,JASNO,GOST,SUHO,ASFALT
2517005,JASNO,GOST,SUHO,ASFALT
2518001,NEZNANO,TEKOČ (NORMALEN),SUHO,ASFALT
2519001,JASNO,REDEK,SUHO,ASFALT
2519002,JASNO,REDEK,SUHO,ASFALT
2520001,JASNO,GOST,SUHO,ASFALT
2520002,JASNO,GOST,SUHO,ASFALT
2520003,JASNO,GOST,SUHO,ASFALT
2520004,JASNO,GOST,SUHO,ASFALT
2521001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2521002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2522001,JASNO,GOST,SUHO,ASFALT
2522002,JASNO,GOST,SUHO,ASFALT
2523001,JASNO,GOST,SUHO,ASFALT
2523002,JASNO,GOST,SUHO,ASFALT
2524001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2524002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2525001,JASNO,NEZNANO,SUHO,ASFALT
2525002,JASNO,NEZNANO,SUHO,ASFALT
2526001,DEŽEVNO,GOST,SUHO,ASFALT
2526002,DEŽEVNO,GOST,SUHO,ASFALT
2527001,OBLAČNO,REDEK,SUHO,ASFALT
2528001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2528002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2529001,JASNO,REDEK,SUHO,ASFALT
2530001,JASNO,GOST,SUHO,ASFALT
2530002,JASNO,GOST,SUHO,ASFALT
2531001,JASNO,REDEK,SUHO,ASFALT
2532001,JASNO,REDEK,SUHO,ASFALT
2532002,JASNO,REDEK,SUHO,ASFALT
2533001,JASNO,REDEK,SUHO,TLAKOVANO VOZIŠČE
2534001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2534002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2535001,OBLAČNO,REDEK,SUHO,ASFALT
2536001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2536002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2537001,DEŽEVNO,GOST,MOKRO,ASFALT
2538001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2538002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2538003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2539001,OBLAČNO,TEKOČ (NORMALEN),SUHO,BETON
2540001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2540002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
2541001,OBLAČNO,REDEK,SUHO,ASFALT
2542001,JASNO,TEKOČ (NORMALEN),SUHO,BETON
2542002,JASNO,TEKOČ (NORMALEN),SUHO,BETON
2543001,JASNO,NEZNANO,SUHO,ASFALT
2543002,JASNO,NEZNANO,SUHO,ASFALT
2544001,JASNO,REDEK,SUHO,ASFALT
2544002,JASNO,REDEK,SUHO,ASFALT
2545001,OBLAČNO,REDEK,SUHO,ASFALT
2545002,OBLAČNO,REDEK,SUHO,ASFALT
2546001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2546002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2547001,JASNO,REDEK,SUHO,MAKADAM
2547002,JASNO,REDEK,SUHO,MAKADAM
2548001,JASNO,GOST,SUHO,ASFALT
2548002,JASNO,GOST,SUHO,ASFALT
2548003,JASNO,GOST,SUHO,ASFALT
2548004,JASNO,GOST,SUHO,ASFALT
2548005,JASNO,GOST,SUHO,ASFALT
2548006,JASNO,GOST,SUHO,ASFALT
2548007,JASNO,GOST,SUHO,ASFALT
2548008,JASNO,GOST,SUHO,ASFALT
2548009,JASNO,GOST,SUHO,ASFALT
2548010,JASNO,GOST,SUHO,ASFALT
2549001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2549002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2550001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2551001,JASNO,GOST,SUHO,ASFALT
2551002,JASNO,GOST,SUHO,ASFALT
2552001,JASNO,GOST,SUHO,ASFALT
2552002,JASNO,GOST,SUHO,ASFALT
2553001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2553002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2554001,OBLAČNO,REDEK,SUHO,ASFALT
2555001,JASNO,REDEK,SUHO,ASFALT
2555002,JASNO,REDEK,SUHO,ASFALT
2556001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2557001,JASNO,REDEK,SUHO,ASFALT
2557002,JASNO,REDEK,SUHO,ASFALT
2558001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2558002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2559001,OBLAČNO,REDEK,SUHO,ASFALT
2560001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2560002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2561001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2561002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2562001,JASNO,GOST,SUHO,ASFALT
2562002,JASNO,GOST,SUHO,ASFALT
2563001,JASNO,REDEK,SUHO,ASFALT
2563002,JASNO,REDEK,SUHO,ASFALT
2564001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2564002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2565001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2566001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2566002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2566003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2567001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2567002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2568001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2569001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2569002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2569003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2570001,JASNO,REDEK,SUHO,ASFALT
2570002,JASNO,REDEK,SUHO,ASFALT
2571001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2571002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2572001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2573001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2573002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2574001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2574002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2575001,JASNO,REDEK,SUHO,ASFALT
2576001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2577001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2577002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2578001,OBLAČNO,REDEK,SUHO,ASFALT
2578002,OBLAČNO,REDEK,SUHO,ASFALT
2579001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2579002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2580001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2580002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2581001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2581002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2582001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2582002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2583001,JASNO,NEZNANO,SUHO,ASFALT
2583002,JASNO,NEZNANO,SUHO,ASFALT
2584001,JASNO,GOST,SUHO,ASFALT
2584002,JASNO,GOST,SUHO,ASFALT
2585001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2585002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2585003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586004,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586005,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586006,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586007,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586008,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586009,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586010,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586011,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586012,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2586013,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
2587001,JASNO,REDEK,SUHO,ASFALT
2588001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2588002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2589001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2590001,JASNO,REDEK,SUHO,ASFALT
2590002,JASNO,REDEK,SUHO,ASFALT
2591001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2592001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2592002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
2593001,JASNO,REDEK,SUHO,ASFALT
2593002,JASNO,REDEK,SUHO,ASFALT
2594001,NEZNANO,NEZNANO,SUHO,ASFALT
2595001,JASNO,REDEK,SUHO,ASFALT
